Velocity2,Rise_In_Insulin,CGM_Difference,Skewness,Variance,Max_Value,Min_Value,Mean_Value,Entropy,RMS,bins,kmeans_bins,dbscan_bins
3.0,162.86666666666667,0.20958083832335328,-0.4837273783963563,279.05350772889415,202.0,131.0,173.34,3.3625556735608617,177.71,4,5,4
1.0,77.8,0.8279569892473119,0.07373837920158481,1049.797859690844,170.0,84.0,127.83,3.3349388705172074,127.98,1,1,1
-11.0,187.86666666666667,0.1322314049586777,0.3168156021137234,7028.0261593341265,274.0,47.0,144.79,3.196451469707417,175.66,3,3,4
3.0,73.66666666666667,1.8307692307692307,0.016293561935296998,2267.728894173603,184.0,47.0,114.83,3.2777270436801897,117.84,4,1,5
-0.0,175.46666666666667,0.005319148936170213,-1.3583827031305986,485.00118906064216,189.0,115.0,171.59,3.358484186238804,178.01,1,5,4
2.0,93.13333333333334,1.0097087378640777,0.2974135507062457,958.2116527942926,195.0,98.0,136.17,3.341680453932526,132.55,1,1,1
0.0,146.46666666666667,0.43670886075949367,0.1377583879026352,710.8323424494646,227.0,152.0,189.17,3.3573845372616256,191.13,1,5,4
3.0,104.0,0.4888888888888889,-0.687078599506193,357.80023781212844,134.0,76.0,110.31,3.3518457961935533,109.68,4,1,2
3.0,163.73333333333332,0.3136094674556213,-0.2138606146751679,884.4637336504162,222.0,116.0,171.14,3.3518288637406215,178.76,4,5,4
-1.0,84.46666666666667,1.0816326530612246,1.1639378109860685,835.2841854934602,192.0,90.0,116.48,3.3386547931339097,110.8,2,1,1
-2.0,180.13333333333333,0.21243523316062177,0.4689988786439051,628.4542211652793,234.0,138.0,179.55,3.357678522765702,181.74,1,5,4
1.0,78.53333333333333,1.2560975609756098,0.3920422455298983,1315.8692033293698,184.0,80.0,120.31,3.3226809751413406,117.66,1,1,1
-4.0,95.46666666666667,0.546875,1.2078385097823574,1304.3115338882285,198.0,70.0,104.41,3.312960560596145,112.68,1,1,1
2.0,98.0,0.2777777777777778,-0.6921348113125468,137.20808561236623,115.0,70.0,94.41,3.3593184720383613,93.34,1,1,2
3.0,144.0,0.9533333333333334,0.12918976132838333,3091.9548156956007,293.0,138.0,208.1,3.331447651299587,209.79,1,3,4
7.0,144.46666666666667,0.6484375,-0.5970255756674677,1207.1462544589774,211.0,115.0,173.48,3.346181539989505,174.98,4,5,4
4.0,146.33333333333334,0.7034482758620689,-0.05558921726132076,1760.0975029726515,247.0,131.0,189.62,3.3424143829477044,193.78,4,5,4
0.0,192.46666666666667,0.014778325123152709,-0.9040948557521905,318.9036860879905,206.0,144.0,187.31,3.362601113832005,190.94,1,2,4
-2.0,123.33333333333333,0.2413793103448276,0.026316731224227365,292.83472057074914,180.0,129.0,154.69,3.3611630790645566,152.75,1,5,4
3.0,147.53333333333333,0.176056338028169,0.059883151683155125,349.4673008323424,167.0,107.0,136.66,3.357910606829956,140.97,1,5,4
-4.0,82.6,0.10810810810810811,0.5871141181232731,294.48989298454217,123.0,72.0,92.69,3.350605692629549,95.34,4,1,1
2.0,286.46666666666664,0.09712230215827339,-1.0383936996387233,1960.8680142687278,305.0,160.0,248.55,3.3501451543910177,261.01,2,4,4
2.0,173.06666666666666,0.12849162011173185,-0.30966429461455264,165.96670630202144,202.0,159.0,183.41,3.364807347741012,185.98,2,5,4
-1.0,137.06666666666666,0.040268456375838924,0.02322149584690679,979.0844233055884,155.0,75.0,116.14,3.3305188430390364,123.57,2,1,1
2.0,115.73333333333333,0.25688073394495414,-0.7957234329104096,113.56242568370986,133.0,91.0,115.24,3.362896973971956,114.01,1,1,2
-1.0,108.8,0.13821138211382114,-0.5821848970490804,106.52318668252082,140.0,91.0,121.45,3.363604934677221,124.0,2,1,2
2.0,247.73333333333335,0.08196721311475409,0.2980233066351238,789.1319857312724,264.0,165.0,215.62,3.3588756336693395,219.37,2,2,4
-2.0,173.33333333333334,0.22439024390243903,-0.16269186581039072,1287.7193816884665,251.0,116.0,183.93,3.3477701847969557,193.52,1,5,4
-1.0,173.8,0.23232323232323232,-0.26225602526823744,1288.049940546968,244.0,112.0,179.14,3.346558605506451,188.86,1,5,4
13.0,233.13333333333333,0.5337078651685393,0.6664566199739955,2233.3745541022586,273.0,137.0,187.07,3.3366429371485276,197.7,3,2,4
-2.0,249.66666666666666,0.05,0.6594957889202255,2254.418549346017,273.0,139.0,186.83,3.336260434944507,198.03,4,2,4
1.0,161.2,0.7407407407407407,0.5658941102398912,1601.2009512485138,279.0,146.0,200.62,3.347916331602503,194.97,2,5,4
1.0,161.2,0.7407407407407407,0.5658941102398912,1601.2009512485138,279.0,146.0,200.62,3.347916331602503,194.97,2,5,4
2.0,162.06666666666666,0.7621951219512195,0.5168108174940883,1704.6967895362664,282.0,150.0,205.31,3.3475458694906344,199.89,2,2,4
5.0,218.86666666666667,0.38207547169811323,-0.5635693405111406,1502.6397146254458,293.0,178.0,251.66,3.3549932771403324,251.57,4,2,4
5.0,226.6,0.35648148148148145,-0.6641560283365424,1324.5850178359096,293.0,185.0,255.03,3.356715479032776,255.12,2,2,4
-3.0,227.66666666666666,0.07692307692307693,0.07318849421825066,3446.575505350772,280.0,122.0,199.1,3.3232920735536724,213.83,3,3,4
-8.0,198.0,0.13333333333333333,0.5577476200292553,2701.2675386444707,272.0,122.0,179.79,3.3269417237401755,192.02,1,5,4
5.0,127.6,1.2522522522522523,-0.2778276299422346,3282.0975029726524,243.0,81.0,170.62,3.307126986424043,171.39,3,3,5
1.0,236.13333333333333,0.03557312252964427,-1.1417955319239312,2299.277051129607,262.0,109.0,219.41,3.3406701136115227,233.93,4,2,4
1.0,244.26666666666665,0.043824701195219126,-0.8278571231786224,3065.443519619501,262.0,105.0,210.07,3.3288824508612542,226.54,2,2,4
-5.0,228.6,0.0038314176245210726,-0.11687240915849714,4019.907253269917,262.0,104.0,185.24,3.3062577183364827,203.5,2,3,4
-6.0,210.0,0.0784313725490196,0.20648937371859466,3108.183115338882,275.0,114.0,190.76,3.3245645550039735,205.77,2,3,4
-6.0,168.93333333333334,0.2559241706161137,0.6337988058491056,2445.5790725326992,265.0,105.0,162.72,3.322837081313309,175.97,4,5,6
-3.0,97.93333333333334,0.049586776859504134,-0.21066956003593748,563.053507728894,127.0,60.0,94.66,3.3347822503015254,100.02,2,1,1
5.0,224.86666666666667,0.1509433962264151,-1.184440394944042,1762.9916765755052,244.0,90.0,198.21,3.3421570357523844,211.06,3,2,4
1.0,228.46666666666667,0.04721030042918455,-0.9256191828434206,2539.3602853745538,244.0,87.0,189.86,3.3277068793423568,205.29,1,2,4
-4.0,207.13333333333333,0.025210084033613446,-0.21940621559821902,3801.8263971462547,244.0,87.0,168.97,3.296492690673353,187.55,3,3,4
